unique_ids,ids,category_names,family_names,type_names,host_ids,BB_X_dims,BB_Y_dims,BB_Z_dims,BB_volumes,BB_centers,BB_plane_Zs,solid_volumes,room_names
8625196e-5405-4418-b1c8-678a6e6ffa69-004a1aaf,4856495,Floors,Floor,כביש אספלט,-,2227.911593,74,5020.683137,8.28E+08,"{8583.667486, 4352.92878, -73}","{0.321741,0.946828,0}",3.03E+07,-
3cf07e43-8bf3-45b1-8ca7-38ca60ce8631-004a1c7f,4856959,Floors,Floor,מדרכה 15,-,3499.077052,88,5463.91387,1.68E+09,"{9052.235911, 4351.798125, -66}","{0.321741,0.946828,0}",1.05E+08,-
ad946a26-232c-4ac5-a303-dec9376a9db0-004a3a82,4864642,Walls,Basic Wall,בטון 20,-,2361.666388,368.820679,20,1.74E+07,"{6844.000996, 5756.137473, -114.41034}","{0,1,0}",1.71E+07,-
1815ba50-3acf-427d-95c2-c2fc54361556-004d13cc,5051340,Walls,Basic Wall,בטון 47,-,838.400092,987,47,3.89E+07,"{7161.778987, 3598.709634, -656.5}","{0,-1,0}",3.87E+07,-
1815ba50-3acf-427d-95c2-c2fc54361556-004d14a5,5051557,Walls,Basic Wall,בטון 47,-,900.013346,1047.767931,47,4.43E+07,"{7621.840181, 5742.393137, -626.116035}","{-0.000573,1.0,0}",4.38E+07,-
1815ba50-3acf-427d-95c2-c2fc54361556-004d1563,5051747,Walls,Basic Wall,בטון 50,-,230,1135,50,1.31E+07,"{6717.578941, 3980.124917, -582.5}","{1,0,0}",1.01E+07,-
1815ba50-3acf-427d-95c2-c2fc54361556-004d156c,5051756,Walls,Basic Wall,בטון 50,-,615,1187.2,50,3.65E+07,"{5480.078941, 3890.126005, -596.6}","{0,-1,0}",2.82E+07,-
1815ba50-3acf-427d-95c2-c2fc54361556-004d156f,5051759,Walls,Basic Wall,בטון 50,-,179.998913,1065.2,50,9.59E+06,"{5197.578941, 4005.125461, -547.6}","{-1,0,0}",7.97E+06,-
7b8224e2-c3a9-46e9-b698-485bb7358bf9-004d1a3a,5052986,Walls,Basic Wall,בטון 20,-,659.905177,1062.2,20,1.40E+07,"{6063.12039, 5051.650604, -549.1}","{0,-1,0}",1.40E+07,-
79f68a8d-86ce-4aa1-b553-f5bdf8ba6ec4-004d2095,5054613,Walls,Basic Wall,בטון 30,-,978.934609,800,30.000013,2.35E+07,"{6222.635106, 5365.697406, -450}","{0,1,0}",1.86E+07,-
8b67897b-a6e8-4c3d-9109-a446962bd303-004d369f,5060255,Walls,Basic Wall,בטון 30,-,319.046808,1062.2,30,1.02E+07,"{5748.167802, 5221.174008, -549.1}","{-1,0,0}",7.12E+06,-
a410c12d-fdaf-49b0-b219-c91b9a2f734d-004d5e55,5070421,Walls,Basic Wall,בטון 50,-,179.998913,997.2,50,8.97E+06,"{5762.578941, 4005.125461, -581.6}","{1,0,0}",7.62E+06,-
22da9f56-4c63-4aa7-83c5-17a5c85daea2-004d655c,5072220,Walls,Basic Wall,בטון 47,-,242.916371,1089,47,1.24E+07,"{5764.078941, 3743.667819, -605.5}","{-1,0,0}",1.18E+07,-
22da9f56-4c63-4aa7-83c5-17a5c85daea2-004d65b9,5072313,Walls,Basic Wall,בטון 47,-,289.915284,987,47.008824,1.35E+07,"{6719.074528, 3720.167276, -656.5}","{-1,0,0}",1.24E+07,-
19fb248b-f601-4254-b68c-0a65bacfb3e4-004d736f,5075823,Walls,Basic Wall,בטון 47,-,742.238271,1202,47,4.19E+07,"{4150.534303, 4433.387761, -679}","{-0.950085,0.311992,0}",4.10E+07,-
faa03781-be8b-4aa3-8b1e-ebcc842251d5-004d78bb,5077179,Walls,Basic Wall,בטון 50,-,270,1186.590289,50,1.60E+07,"{6557.578941, 3890.124917, -596.295144}","{0,-1,0}",1.25E+07,-
faa03781-be8b-4aa3-8b1e-ebcc842251d5-004d7905,5077253,Walls,Basic Wall,בטון 50,-,180,1025.998599,50,9.23E+06,"{6447.578941, 4005.124917, -530.9993}","{-1,0,0}",7.73E+06,-
faa03781-be8b-4aa3-8b1e-ebcc842251d5-004d7934,5077300,Walls,Basic Wall,בטון 47,-,289.915284,987,47,1.34E+07,"{6446.078941, 3720.167276, -656.5}","{1,0,0}",1.34E+07,-
faa03781-be8b-4aa3-8b1e-ebcc842251d5-004d7967,5077351,Walls,Basic Wall,בטון 47,-,682,1180.70028,47,3.78E+07,"{6081.578941, 3598.709634, -561.64986}","{0,-1,0}",3.78E+07,-
ebe4868b-3cce-4c34-af50-b504715ebc40-004e291f,5122335,Floors,Floor,ריצוף לובי 100/100,-,2173.486089,49,1008.257948,1.07E+08,"{6511.61669, 4579.689656, 6.5}","{0.321741,0.946828,0}",3.42E+07,-
19cc2db5-366f-472e-ab79-e40b1794972d-004e3c08,5127176,Walls,Basic Wall,בטון 20,-,325,1265,20,8.22E+06,"{5743.167802, 4889.150604, -647.5}","{-1,0,0}",7.06E+06,-
d5dda42d-bc1d-41ca-b9c2-03d47c248f86-004f1815,5183509,Walls,Basic Wall,בטון 47,-,289.916371,1092,47,1.49E+07,"{5196.078941, 3720.167819, -604}","{1,0,0}",1.24E+07,-
d5dda42d-bc1d-41ca-b9c2-03d47c248f86-004f1b84,5184388,Walls,Basic Wall,בטון 47,-,1630.699121,1215,47,9.31E+07,"{8048.370948, 4903.800348, -672.5}","{1.0,0.000044,0}",8.87E+07,-
f99a8f66-caa9-482b-b1ae-1ae5246ab744-004f2469,5186665,Walls,Basic Wall,בטון 47,-,412.975348,1007,47,1.95E+07,"{4966.091267, 3598.709634, -666.5}","{0,-1,0}",1.95E+07,-
b2352c5f-0a3c-45ec-96b9-94cb028a103d-004fa52a,5219626,Windows,M_Louvers with Trim-H60,W100/H60,79f68a8d-86ce-4aa1-b553-f5bdf8ba6ec4-004d2095,103.79,63.79,32.6,215836.9097,"{5889.772802, 5365.697412, -130}","{0,-1,0}",29081.25405,-
5628f74d-8e10-4b8b-b89c-dc367274c1e0-00517ae6,5339878,Floors,Floor,"רצפת ממ""ד-79",-,1589.662336,57,852.196662,7.72E+07,"{5960.617239, 4079.068715, 5.5}","{0.321741,0.946828,0}",1.15E+07,-
